frontal_L, frontal_R, occipital_L, occipital_R, parietal_L, parietal_R, temporal_L, temporal_R, wm-eroded_L, wm-eroded_R
0.22409, 0, 0.22983, 0, 0.29963, 0, 0.15734, 0, 0.24185, 0
0.22409, 0, 0.22983, 0, 0.29963, 0, 0.15734, 0, 0.24185, 0
